2025-07-06 20:39:21 startup archives install
2025-07-06 20:39:21 install base-passwd:amd64 <none> 3.5.52build1
2025-07-06 20:39:21 status half-installed base-passwd:amd64 3.5.52build1
2025-07-06 20:39:21 status unpacked base-passwd:amd64 3.5.52build1
2025-07-06 20:39:21 configure base-passwd:amd64 3.5.52build1 3.5.52build1
2025-07-06 20:39:21 status half-configured base-passwd:amd64 3.5.52build1
2025-07-06 20:39:21 status installed base-passwd:amd64 3.5.52build1
2025-07-06 20:39:21 startup archives install
2025-07-06 20:39:21 install base-files:amd64 <none> 12ubuntu4
2025-07-06 20:39:21 status half-installed base-files:amd64 12ubuntu4
2025-07-06 20:39:21 status unpacked base-files:amd64 12ubuntu4
2025-07-06 20:39:21 configure base-files:amd64 12ubuntu4 12ubuntu4
2025-07-06 20:39:21 status half-configured base-files:amd64 12ubuntu4
2025-07-06 20:39:22 status installed base-files:amd64 12ubuntu4
2025-07-06 20:39:22 startup archives install
2025-07-06 20:39:22 upgrade dpkg 1.21.1ubuntu2 1.21.1ubuntu2
2025-07-06 20:39:22 status half-configured dpkg 1.21.1ubuntu2
2025-07-06 20:39:22 status unpacked dpkg 1.21.1ubuntu2
2025-07-06 20:39:22 status half-installed dpkg 1.21.1ubuntu2
2025-07-06 20:39:22 status unpacked dpkg:amd64 1.21.1ubuntu2
2025-07-06 20:39:22 configure dpkg:amd64 1.21.1ubuntu2 1.21.1ubuntu2
2025-07-06 20:39:22 status half-configured dpkg:amd64 1.21.1ubuntu2
2025-07-06 20:39:22 status installed dpkg:amd64 1.21.1ubuntu2
2025-07-06 20:39:22 startup archives install
2025-07-06 20:39:22 install libc6:amd64 <none> 2.35-0ubuntu3
2025-07-06 20:39:22 status half-installed libc6:amd64 2.35-0ubuntu3
2025-07-06 20:39:23 status unpacked libc6:amd64 2.35-0ubuntu3
2025-07-06 20:39:23 configure libc6:amd64 2.35-0ubuntu3 2.35-0ubuntu3
2025-07-06 20:39:23 status half-configured libc6:amd64 2.35-0ubuntu3
2025-07-06 20:39:23 status installed libc6:amd64 2.35-0ubuntu3
2025-07-06 20:39:23 startup archives install
2025-07-06 20:39:23 install perl-base:amd64 <none> 5.34.0-3ubuntu1
2025-07-06 20:39:23 status half-installed perl-base:amd64 5.34.0-3ubuntu1
2025-07-06 20:39:23 status unpacked perl-base:amd64 5.34.0-3ubuntu1
2025-07-06 20:39:23 configure perl-base:amd64 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2025-07-06 20:39:23 status half-configured perl-base:amd64 5.34.0-3ubuntu1
2025-07-06 20:39:23 status installed perl-base:amd64 5.34.0-3ubuntu1
2025-07-06 20:39:23 startup archives install
2025-07-06 20:39:23 install mawk:amd64 <none> 1.3.4.20200120-3
2025-07-06 20:39:23 status half-installed mawk:amd64 1.3.4.20200120-3
2025-07-06 20:39:23 status unpacked mawk:amd64 1.3.4.20200120-3
2025-07-06 20:39:23 configure mawk:amd64 1.3.4.20200120-3 1.3.4.20200120-3
2025-07-06 20:39:23 status half-configured mawk:amd64 1.3.4.20200120-3
2025-07-06 20:39:23 status installed mawk:amd64 1.3.4.20200120-3
2025-07-06 20:39:23 startup archives unpack
2025-07-06 20:39:24 upgrade base-files:amd64 12ubuntu4 12ubuntu4
2025-07-06 20:39:24 status half-configured base-files:amd64 12ubuntu4
2025-07-06 20:39:24 status unpacked base-files:amd64 12ubuntu4
2025-07-06 20:39:24 status half-installed base-files:amd64 12ubuntu4
2025-07-06 20:39:24 status unpacked base-files:amd64 12ubuntu4
2025-07-06 20:39:24 upgrade base-passwd:amd64 3.5.52build1 3.5.52build1
2025-07-06 20:39:24 status half-configured base-passwd:amd64 3.5.52build1
2025-07-06 20:39:24 status unpacked base-passwd:amd64 3.5.52build1
2025-07-06 20:39:24 status half-installed base-passwd:amd64 3.5.52build1
2025-07-06 20:39:24 status unpacked base-passwd:amd64 3.5.52build1
2025-07-06 20:39:24 install bash:amd64 <none> 5.1-6ubuntu1
2025-07-06 20:39:24 status half-installed bash:amd64 5.1-6ubuntu1
2025-07-06 20:39:24 status unpacked bash:amd64 5.1-6ubuntu1
2025-07-06 20:39:24 install bsdutils:amd64 <none> 1:2.37.2-4ubuntu3
2025-07-06 20:39:24 status half-installed bsdutils:amd64 1:2.37.2-4ubuntu3
2025-07-06 20:39:24 status unpacked bsdutils:amd64 1:2.37.2-4ubuntu3
2025-07-06 20:39:24 install coreutils:amd64 <none> 8.32-4.1ubuntu1
2025-07-06 20:39:24 status half-installed coreutils:amd64 8.32-4.1ubuntu1
2025-07-06 20:39:24 status unpacked coreutils:amd64 8.32-4.1ubuntu1
2025-07-06 20:39:24 install dash:amd64 <none> 0.5.11+git20210903+057cd650a4ed-3build1
2025-07-06 20:39:24 status half-installed dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2025-07-06 20:39:24 status unpacked dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2025-07-06 20:39:24 install debconf:all <none> 1.5.79ubuntu1
2025-07-06 20:39:24 status half-installed debconf:all 1.5.79ubuntu1
2025-07-06 20:39:25 status unpacked debconf:all 1.5.79ubuntu1
2025-07-06 20:39:25 install debianutils:amd64 <none> 5.5-1ubuntu2
2025-07-06 20:39:25 status half-installed debianutils:amd64 5.5-1ubuntu2
2025-07-06 20:39:25 status unpacked debianutils:amd64 5.5-1ubuntu2
2025-07-06 20:39:25 install diffutils:amd64 <none> 1:3.8-0ubuntu2
2025-07-06 20:39:25 status half-installed diffutils:amd64 1:3.8-0ubuntu2
2025-07-06 20:39:25 status unpacked diffutils:amd64 1:3.8-0ubuntu2
2025-07-06 20:39:25 upgrade dpkg:amd64 1.21.1ubuntu2 1.21.1ubuntu2
2025-07-06 20:39:25 status half-configured dpkg:amd64 1.21.1ubuntu2
2025-07-06 20:39:25 status unpacked dpkg:amd64 1.21.1ubuntu2
2025-07-06 20:39:25 status half-installed dpkg:amd64 1.21.1ubuntu2
2025-07-06 20:39:25 status unpacked dpkg:amd64 1.21.1ubuntu2
2025-07-06 20:39:25 install e2fsprogs:amd64 <none> 1.46.5-2ubuntu1
2025-07-06 20:39:25 status half-installed e2fsprogs:amd64 1.46.5-2ubuntu1
2025-07-06 20:39:25 status unpacked e2fsprogs:amd64 1.46.5-2ubuntu1
2025-07-06 20:39:25 install findutils:amd64 <none> 4.8.0-1ubuntu3
2025-07-06 20:39:25 status half-installed findutils:amd64 4.8.0-1ubuntu3
2025-07-06 20:39:25 status unpacked findutils:amd64 4.8.0-1ubuntu3
2025-07-06 20:39:25 install gcc-12-base:amd64 <none> 12-20220319-1ubuntu1
